ISO_code,start_year,start_month,End_intended,Start_intended,measure,Instrument_subtype,name,policy_changed,policy_changed_detail,Actors,Technology_type,Technology_requirement,Technology_type_multiple,multiple_condition_attributes,Condition_minimum_1,Condition_maximum_1,Condition_unit_1,Condition_notes_1,level_1,instrument_level1_unit,Condition_minimum_2,Condition_maximum_2,Condition_unit_2,Condition_notes_2,level_2,level_2_unit,Condition_minimum_3,Condition_maximum_3,Condition_unit_3,Condition_notes_3,level_3,level_3_unit,cap_possible,cap,cap_unit,cap_unit_notes,tender_amount_tendered,tender_amount_contracted,tender_unit,Government_budget,Government_budget_currency,loan_interest_rate,notes,source,IEA_name,CPDB_code,publication_year,publication_month
FRA,2019,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),yes,Introduced (target year 2040),,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,2016,May
FRA,2020,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),no,,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,2016,May
FRA,2021,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),no,,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,2016,May
FRA,2022,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),no,,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,2016,May
FRA,2023,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),no,,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,2016,May
FRA,2024,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),no,,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,,
FRA,2025,December,,,ban,ICE phase-out,Mobility Guidance Law (LOI n° 2019-1428 du 24 décembre 2019 d'orientation des mobilités),no,,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ban for 2040 proposed in 2017, written into law in 2019 - sale of fossil fuel vehicles no longer possible after 2040",https://www.strategie-plan.gouv.fr/files/files/Publications/English%20Articles/Overview%20of%20government%20policies/note_de_synthese_-_vehicules_electriques_-_gb_0.pdf; https://www.tresor.economie.gouv.fr/Articles/ed92a1e7-6eb5-4518-8ac3-a54f1fe2a5fb/files/ff918b43-0faa-4c59-95bd-dd9f7d00b83c; https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574 ,,,,
IRL,2019,,,2030,ban,ICE phase-out,Climate Change Act 2019,yes,Announced,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ban for 2030 announced,https://assets.gov.ie/25419/c97cdecddf8c49ab976e773d4e11e515.pdf,Climate Action Plan 2019 - Ireland's ICE sales ban,,,
IRL,2019,,,2035,ban,ICE phase-out,Climate Change Act 2019,yes,Implementation postponed,,ICE vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moved to 2035 as not compatible with EU law,https://www.irishtimes.com/transport/2023/02/26/delay-in-ban-on-new-fossil-fuelled-car-sales-branded-hugely-disappointing/,Climate Action Plan 2019 - Ireland's ICE sales ban,,,
FRA,2014,,,,carbon tax,,France carbon tax,yes,introduced,,All vehicles,,,,,,,,9.653,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2015,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,15.59475,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2016,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,25.1504,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2017,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,32.60755,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2018,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,54.95166,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2019,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,50.11256,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2020,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,48.77456,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2021,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,52.38716,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2022,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,49.29192,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2023,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,48.5025,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2024,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,47.94054,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
FRA,2025,,,,carbon tax,,France carbon tax,no,,,All vehicles,,,,,,,,48.11448,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2010,,,,carbon tax,,Ireland carbon tax,yes,introduced,,All vehicles,,,,,,,,20.17719644,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2011,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,21.185457,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2012,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,26.69666382,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2020,October
IRL,2013,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,25.59529651,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2020,October
IRL,2014,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,27.56416548,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2020,October
IRL,2015,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,21.49765045,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2020,October
IRL,2016,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,22.85087308,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2021,July
IRL,2017,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,21.36972394,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2022,August
IRL,2018,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,24.62785227,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2023,September
IRL,2019,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,22.45909814,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2024,October
IRL,2020,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,28.5216403,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,2025,November
IRL,2021,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,39.67853261,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2022,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,45.69004849,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2023,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,53.18511109,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2024,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,52.56889739,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
IRL,2025,,,,carbon tax,,Ireland carbon tax,no,,,All vehicles,,,,,,,,68.5038,usd,,,,,,,,,,,,,,,,,,,,,,,"data via World Bank carbon pricing dashboard, must be cited as such for subsequent analyses",https://carbonpricingdashboard.worldbank.org/about,,,,
DEU,2021,,,,ETS cap-and-trade,,German Emissions Trading,yes,introduced a sub system in parallel to the eu ets,,All vehicles,,,,,,,,25,EUR,,,,,,,,,,,,,,,,,,,,,,,"this price includes all renewables, transport and heating sectors",https://icapcarbonaction.com/en/ets-prices,,,,
DEU,2022,,,,ETS cap-and-trade,,German Emissions Trading,no,,,All vehicles,,,,,,,,30,EUR,,,,,,,,,,,,,,,,,,,,,,,"this price includes all renewables, transport and heating sectors",https://icapcarbonaction.com/en/ets-prices,,,2021,March
DEU,2023,,,,ETS cap-and-trade,,German Emissions Trading,no,,,All vehicles,,,,,,,,30,EUR,,,,,,,,,,,,,,,,,,,,,,,"this price includes all renewables, transport and heating sectors",https://icapcarbonaction.com/en/ets-prices,,,2022,January
DEU,2024,,,,ETS cap-and-trade,,German Emissions Trading,no,,,All vehicles,,,,,,,,45,EUR,,,,,,,,,,,,,,,,,,,,,,,"this price includes all renewables, transport and heating sectors",https://icapcarbonaction.com/en/ets-prices,,,2023,August
