Country_code,Country,Year_decision,Year_first_decision,Year_target,Target_minimum,Target_maximum,Target_average,Target_consistent,Unit,Target_type,RE_technology,Miscellaneous,Source,added_in_version,change_reason,status,status_changed_in_version
AFG,Afghanistan,2016,2016,2050,,100.0,100.0,100.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
AFG,Afghanistan,2022,2016,2030,,25.0,25.0,25.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf,V3,New non-EU-27 observation added in V3,active,V3
AFG,Afghanistan,2017,2017,2032,,10.0,10.0,10.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
AFG,Afghanistan,2020,2017,2100,,40.0,40.0,40.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ALB,Albania,2012,2012,2020,,38.0,38.0,38.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
ALB,Albania,2020,2012,2030,,42.0,42.0,42.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ALB,Albania,2023,2012,2030,,54.0,54.0,54.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2009,2009,2010,,10.0,10.0,10.0,Percent,Electricity ,All technologies,,https://www.ren21.net/Portals/0/documents/activities/gsr/REN21_GSR_2010_full_revised%20Sept2010.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2010,2009,2017,,5.0,5.0,5.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2011_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2010,2009,2030,,20.0,20.0,20.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2011_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2012,2009,2030,,40.0,40.0,40.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2014,2009,2030,,27.0,27.0,27.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2015_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2011,2011,2030,,40.0,40.0,40.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2012_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
DZA,Algeria,2015,2011,2030,,37.0,37.0,37.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
AND,Andorra,2021,2021,2030,,75.0,75.0,75.0,Percent,Electricity ,All technologies,,https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf,V3,New non-EU-27 observation added in V3,active,V3
AND,Andorra,2021,2021,2030,,80.0,80.0,80.0,Percent,Electricity ,All technologies,,https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf,V3,New non-EU-27 observation added in V3,active,V3
AGO,Angola,2020,2020,2025,,7.5,7.5,7.5,Percent,Electricity ,All technologies except hydro,Around 800 MW,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
AGO,Angola,2023,2023,2025,,8.0,8.0,8.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf,V3,New non-EU-27 observation added in V3,active,V3
ATG,Antigua and Barbuda,2012,2012,2015,,5.0,5.0,5.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
ATG,Antigua and Barbuda,2012,2012,2020,,10.0,10.0,10.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
ATG,Antigua and Barbuda,2012,2012,2030,,15.0,15.0,15.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
ATG,Antigua and Barbuda,2015,2012,2016,,8.0,8.0,8.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
ATG,Antigua and Barbuda,2021,2012,2030,,100.0,100.0,100.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2022_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ATG,Antigua and Barbuda,2020,2020,2030,,15.0,15.0,15.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2009,2009,2016,,8.0,8.0,8.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2010_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2015,2009,2025,,20.0,20.0,20.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/05/REN21_GSR2016_FullReport_en_11.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2018,,8.0,8.0,8.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2019,,9.0,9.0,9.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2021,,16.0,16.0,16.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
ARG,Argentina,2017,2009,2023,,18.0,18.0,18.0,Percent,Electricity ,All technologies except large hydro,,https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf,V3,New non-EU-27 observation added in V3,active,V3
