Country_code;Year_decision;Country;Country_short;Region;Income_group;Year_first_decision;Year_target;Year_latest_target;Target_minimum;Target_maximum;Target_average;Unit;Target_type;RE_technology;Target_consistent;Miscellaneous;Source;Note.changes;added_in_version;change_reason;status;status_changed_in_version
AFG;2016;Afghanistan;Afghanistan;South Asia;Low income;2016;2050;2050;NA;100;100;Percent;Electricity;All technologies;100;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AFG;2017;Afghanistan;Afghanistan;South Asia;Low income;2017;2032;2100;NA;10;10;Percent;Final energy;All technologies;10;;https://www.ren21.net/wp-content/uploads/2019/08/Full-Report-2018.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AFG;2020;Afghanistan;Afghanistan;South Asia;Low income;2017;2100;2100;NA;40;40;Percent;Final energy;All technologies;40;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AFG;2022;Afghanistan;Afghanistan;South Asia;Low income;2016;2030;2050;NA;25;25;Percent;Electricity;All technologies;25;;https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AGO;2020;Angola;Angola;Sub-Saharan Africa;Lower middle income;2020;2025;2025;NA;8;8;Percent;Electricity;All technologies except hydro;83.19;Around 800 MW;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;Changed from 8% to 7.5%;V3;New non-EU-27 observation added in V3;active;V3
AGO;2023;Angola;Angola;Sub-Saharan Africa;Lower middle income;2023;2025;2025;NA;8;8;Percent;Final energy;All technologies;8;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ALB;2012;Albania;Albania;Europe & Central Asia;Upper middle income;2012;2020;2030;NA;38;38;Percent;Final energy;All technologies;38;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ALB;2020;Albania;Albania;Europe & Central Asia;Upper middle income;2012;2030;2030;NA;42;42;Percent;Final energy;All technologies;42;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
ALB;2023;Albania;Albania;Europe & Central Asia;Upper middle income;2012;2030;2030;NA;54;54;Percent;Final energy;All technologies;54;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2024_GlobalOverview_Full_Report_with_endnotes_web.pdf;;V3;New non-EU-27 observation added in V3;active;V3
AND;2021;Andorra;Andorra;Europe & Central Asia;High income;2021;2030;2030;NA;80;80;Percent;Electricity;All technologies;80;;https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf;;V3;New non-EU-27 observation added in V3;active;V3
