ISO_code,Country,Year_decision,Year_first_decision,Year_target,Year_base,Target_minimum,Target_maximum,Target_consistent,Target_unit,Conditionality,Target_type,Miscellaneous,Source
AUT,Austria,1997,1997,2012,1990,,-13,-13,Percent,Unconditional,Baseline,,https://www.eea.europa.eu/publications/progress-towards-kyoto
AUT,Austria,2010,1997,2020,2005,,-16,0.4,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2009:140:0136:0148:EN:PDF
AUT,Austria,2018,1997,2030,2005,,-36,-23.5,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
AUT,Austria,2022,1997,2030,1990,,-100,-100,Percent,Unconditional,Baseline,,https://cdn.climatepolicyradar.org/navigator/AUT/2021/renewable-energy-expansion-act_48b789e0a4cd6e290a641e3a6a5ed61c.pdf
AUT,Austria,2023,1997,2030,2005,,-48,-37.8,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
BEL,Belgium,1997,1997,2012,1990,,-7.5,-7.5,Percent,Unconditional,Baseline,,https://www.eea.europa.eu/publications/progress-towards-kyoto
BEL,Belgium,2010,1997,2020,2005,,-15,-13.5,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2009:140:0136:0148:EN:PDF
BEL,Belgium,2018,1997,2030,2005,,-35,-33.8,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
BEL,Belgium,2020,1997,2050,1990,,-100,-100,Percent,Unconditional,Baseline,,https://www.belgium.be/sites/default/files/Accord_de_gouvernement_2020.pdf
BEL,Belgium,2020,1997,2030,2005,,-55,-54.2,Percent,Unconditional,Baseline,,https://www.belgium.be/sites/default/files/Accord_de_gouvernement_2020.pdf
BEL,Belgium,2023,1997,2030,2005,,-47,-46.1,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
BGR,Bulgaria,1997,1997,2012,1990,,-8,-8,Percent,Unconditional,Baseline,,https://unfccc.int/process-and-meetings/the-kyoto-protocol/what-is-the-kyoto-protocol/kyoto-protocol-targets-for-the-first-commitment-period
BGR,Bulgaria,2018,1997,2030,2005,,0,-36.1,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
BGR,Bulgaria,2021,1997,2050,1990,,-100,-100,Percent,Unconditional,Baseline,,https://www.climatewatchdata.org/countries/BGR; https://borgenproject.org/renewable-energy-in-bulgaria/
BGR,Bulgaria,2023,1997,2030,2005,,-10,-42.5,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2023-10/ES-2023-10-17%20EU%20submission%20NDC%20update.pdf
CYP,Cyprus,2016,2016,2020,1990,,-20,-20,Percent,Unconditional,Baseline,,https://unfccc.int/files/national_reports/biennial_reports_and_iar/submitted_biennial_reports/application/pdf/cyp_2016_v3.0_formatted.pdf
CYP,Cyprus,2018,2016,2030,2005,,-24,26.1,Percent,Unconditional,Baseline,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32018R0842&from=EN
CYP,Cyprus,2020,2016,2030,2005,,-24,26.1,Percent,Unconditional,Baseline,,https://unfccc.int/sites/default/files/NDC/2022-06/EU_NDC_Submission_December%202020.pdf
CYP,Cyprus,2023,2016,2050,1990,,-100,-100,Percent,Unconditional,Baseline,,https://unfccc.int/documents/626523
